deal_id,target_name,acquirer_name,announcement_date,closing_date,transaction_form,talent_motive,ai_category,ai_relevance_evidence,supporting_excerpt,source_url,source_accession,source_document_id,source_quality,verification_status,confidence,missingness_reason,deal_status,candidate_score,matched_target_terms,sdc_source_file,sdc_source_row,human_inclusion_label,human_ai_relevance_label,human_transaction_form_label,human_talent_motive_label,human_source_checked,human_notes,human_attestation
3078525020,Kaggle Inc,Alphabet Inc,2017-03-08,unknown,asset purchase,not_documented_in_reviewed_sources,ai_company_acquisition,machine learning,"acquisitions to the Google Cloud family this week, Kaggle and AppBridge. 1 . Kaggle - Kaggle is one of the world's largest communities of data scientists and machine learning enthusiasts. Kaggle and Google Cloud will continue to support machine learning training and deployment services in addition to offering the community the ability to store and query large datasets. 2 . AppBridge - Google Cloud acquired Vancouver-based AppBri",https://blog.google/innovation-and-ai/infrastructure-and-cloud/google-cloud/100-announcements-google-cloud-next-17/,,supp_327ff1ecfdd9a623,official_company_announcement,qualifying_machine_verified_pending_human_review,medium,,unclear,5,kaggle,ma_1520.csv,19775,,,,,,,
3153170020,Motion Ai Inc,HubSpot Inc,2017-09-20,unknown,asset purchase,documented_team_join_language,ai_company_acquisition,"\bai\b(?=[\s,-]*(?:platform|model|models|startup|company|software|technology|lab|labs|research|system|systems|capability|capabilities|assistant|agent|agents|product|products))","d Nelson, founder and CEO of Motion AI. ""We're excited to be joining the HubSpot team, and can't wait to get to work on some really innovative AI tools."" The Motion AI technology will be incorporated into the HubSpot platform over the next several months, with the team working to create tools that help users automate important tasks, scale conversations, and proactively engage and acquire new customers.",https://www.hubspot.com/company-news/hubspot-acquires-motion-ai-one-of-the-top-visual-chatbot-builders,,supp_6bb6449c48074311,official_company_announcement,qualifying_machine_verified_pending_human_review,medium,,unclear,5,\bai\b,ma_1520.csv,25269,,,,,,,
3201487020,Converse.AI Inc,Smartsheet Inc,2017-12-28,unknown,asset purchase,not_documented_in_reviewed_sources,ai_company_acquisition,"\bai\b(?=[\s,-]*(?:platform|model|models|startup|company|software|technology|lab|labs|research|system|systems|capability|capabilities|assistant|agent|agents|product|products))","e to hire in order to meet growing customer demand. Existing Converse.AI customer relationships and agreements will not be impacted by the acquisition, and the Converse.AI platform will continue to be supported. About Smartsheet Organizations need a way to get work done, not just talk about it. Smartsheet is the best way to plan, track, automate, and report on work, enabling you to move from idea to impac",https://www.smartsheet.com/content-center/news/smartsheet-announces-converseai-natural-language-automation-acquisition,,supp_afd5f3e53a041df6,official_company_announcement,qualifying_machine_verified_pending_human_review,medium,,unclear,5,\bai\b,ma_1520.csv,27706,,,,,,,
3257183040,Connecto.ai,Leanplum Inc,2018-06-19,unknown,asset purchase,not_documented_in_reviewed_sources,ai_company_acquisition,\bai[- ]powered\b; machine learning; natural language processing,"SAN FRANCISCO , June 19, 2018 /PRNewswire/ -- Leanplum , the leader in mobile engagement, today announced the acquisition of Connecto, a provider of AI-powered conversational marketing. With this acquisition, Leanplum is taking the next step forward in transforming the relationship between brands and their customers. By bringing together Connecto's AI-driven automation with Leanplum's mobile enga",https://www.prnewswire.com/news-releases/leanplum-acquires-connecto-a-conversational-marketing-company-300668664.html,,supp_2d6e94103484791d,official_company_press_release_distributor,qualifying_machine_verified_pending_human_review,high,,unclear,5,\bai\b,ma_1520.csv,32318,,,,,,,
3263747040,Bloomsbury AI Ltd,Facebook Inc,2018-07-03,unknown,asset purchase,documented_team_join_language,ai_company_acquisition,natural language processing,"Also joining us in London is the team behind Bloomsbury AI, which we announced earlier this month. They have a strong background in natural language processing.",https://about.fb.com/news/2018/07/facebook-ai-research-expands/,,supp_0ba198132a3ce9ce,official_company_announcement,qualifying_machine_verified_pending_human_review,medium,,unclear,5,\bai\b,ma_1520.csv,32707,,,,,,,
3268975020,Butter AI Corp,Box Inc,2018-07-10,unknown,asset purchase,not_documented_in_reviewed_sources,ai_company_acquisition,machine learning,"We're incredibly excited to share that the team from Butter.ai is joining Box to help us execute on our vision to bring intelligent search to the enterprise. Butter.ai, a member of All Turtles, has been focused on using machine learning to solve everyday problems.",https://blog.box.com/welcome-butter-ai-team-Box,,supp_0efd95a26b6f4ecc,official_company_announcement,qualifying_machine_verified_pending_human_review,medium,,unclear,5,\bai\b,ma_1520.csv,32846,,,,,,,
3312269020,Lobe Artificial Intelligence,Microsoft Corp,2018-09-13,unknown,asset purchase,not_documented_in_reviewed_sources,ai_company_acquisition,deep learning,"Today, we’re excited to announce the acquisition of Lobe. Based in San Francisco, Lobe is working to make deep learning simple, understandable and accessible to everyone.",https://blogs.microsoft.com/blog/2018/09/13/microsoft-acquires-lobe-to-help-bring-ai-development-capability-to-everyone/,,supp_eee385ba990d0f07,official_company_announcement,qualifying_machine_verified_pending_human_review,medium,,unclear,10,artificial intelligence;lobe artificial,ma_1520.csv,34461,,,,,,,
3348911020,Vocalize AI Inc,Sensory Inc,2019-02-13,unknown,asset purchase,not_documented_in_reviewed_sources,ai_company_acquisition,machine learning; speech recognition,"g need for an independent evaluation service and software tools that ensure a quality user experience. It’s exciting to have access to the deep bench of AI and machine learning talent and resources of Sensory. It is also important to recognize that Vocalize.ai will operate as an independent company under the Sensory umbrella. In this model, we will continue to provide quality evaluations and competitive benchmarking services for the entire voice-enabled industry.” Sensory’s clients will ben",https://sensory.com/news/sensory-acquires-vocalize-ai-for-speech-technology-testing-capabilities/,,supp_4b9aa9fc3ba3f604,official_company_announcement,qualifying_machine_verified_pending_human_review,high,,unclear,5,\bai\b,ma_1520.csv,38052,,,,,,,
3426068020,Digitize.AI Inc,Navicure Inc,2019-06-21,unknown,statutory merger,not_documented_in_reviewed_sources,ai_company_acquisition,artificial intelligence; machine learning,"Waystar announced the acquisition of Digitize.AI, an artificial intelligence technology firm. Digitize.AI leverages artificial intelligence and machine learning to automate prior authorizations.",https://www.waystar.com/news/waystar-acquires-digitize-ai-to-automate-prior-authorization/,,supp_24e34863bc502dcb,official_company_announcement,qualifying_machine_verified_pending_human_review,high,,unclear,5,\bai\b,ma_1520.csv,40956,,,,,,,
3508418020,Waterline Data Science Inc,Hitachi Ltd,2020-01-22,unknown,asset purchase,not_documented_in_reviewed_sources,ai_company_acquisition,machine learning,Waterline Data delivers catalog technology enabled by machine learning (ML) that automates metadata discovery to solve modern data challenges for analytics and governance.,https://www.hitachivantara.com/pt-br/news-old/gl200122,,supp_481be70c17b4acbe,official_company_announcement,qualifying_machine_verified_pending_human_review,medium,,unclear,3,data science,ma_2022.csv,668,,,,,,,
